INFO 2025-03-18 06:38:05,607 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 06:43:35,479 autoreload /home/art/PycharmProjects/clon_open/chatgpt_app/urls.py changed, reloading.
INFO 2025-03-18 06:43:35,657 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 06:44:41,643 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:44:45,711 base Session data corrupted
INFO 2025-03-18 06:44:45,711 captcha Generated CAPTCHA text: 45HX4
INFO 2025-03-18 06:44:45,751 auth_views Generated CAPTCHA for login form: 45HX4$_
INFO 2025-03-18 06:44:45,759 basehttp "GET /login/ HTTP/1.1" 200 91824
INFO 2025-03-18 06:44:45,775 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:44:45,776 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:44:45,776 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:44:45,776 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5751
INFO 2025-03-18 06:44:46,553 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:44:47,970 basehttp "GET /login/refresh-captcha/?t=1742280287960 HTTP/1.1" 302 0
INFO 2025-03-18 06:44:47,972 captcha Generated CAPTCHA text: 9QUM4
INFO 2025-03-18 06:44:48,003 basehttp "GET /login/refresh-captcha/?t=1742280287960 HTTP/1.1" 302 0
INFO 2025-03-18 06:44:48,005 captcha Generated CAPTCHA text: 99LTY
INFO 2025-03-18 06:44:48,032 auth_views Generated CAPTCHA for login form: 9QUM4$_
INFO 2025-03-18 06:44:48,039 auth_views Generated CAPTCHA for login form: 99LTY$_
INFO 2025-03-18 06:44:48,041 basehttp "GET /login/ HTTP/1.1" 200 92040
INFO 2025-03-18 06:44:48,046 basehttp "GET /login/ HTTP/1.1" 200 91928
INFO 2025-03-18 06:45:34,222 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:45:36,125 base Session data corrupted
INFO 2025-03-18 06:45:36,125 captcha Generated CAPTCHA text: L4LB2
INFO 2025-03-18 06:45:36,163 auth_views Generated CAPTCHA for login form: L4LB2$_
INFO 2025-03-18 06:45:36,172 basehttp "GET /login/ HTTP/1.1" 200 90932
INFO 2025-03-18 06:45:36,190 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:45:36,191 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:45:36,191 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5748
INFO 2025-03-18 06:45:36,191 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:45:36,717 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:45:42,136 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 06:45:42,139 captcha Generated CAPTCHA text: XKG6K
INFO 2025-03-18 06:45:42,174 auth_views Generated CAPTCHA for login form: XKG6K$_
INFO 2025-03-18 06:45:42,181 basehttp "GET /login/ HTTP/1.1" 200 92328
INFO 2025-03-18 06:45:42,192 basehttp "GET /static/js/auth.js HTTP/1.1" 304 0
INFO 2025-03-18 06:45:49,255 basehttp "GET /refresh-captcha HTTP/1.1" 302 0
INFO 2025-03-18 06:45:49,258 captcha Generated CAPTCHA text: 828M8
INFO 2025-03-18 06:45:49,293 auth_views Generated CAPTCHA for login form: 828M8$_
INFO 2025-03-18 06:45:49,299 basehttp "GET /login/ HTTP/1.1" 200 92012
INFO 2025-03-18 06:45:49,313 basehttp "GET /static/js/auth.js HTTP/1.1" 304 0
INFO 2025-03-18 06:45:57,819 basehttp "GET /login/refresh-captcha/1742280357769 HTTP/1.1" 302 0
INFO 2025-03-18 06:45:57,821 captcha Generated CAPTCHA text: NFKD2
INFO 2025-03-18 06:45:57,853 basehttp "GET /login/refresh-captcha/1742280357770 HTTP/1.1" 302 0
INFO 2025-03-18 06:45:57,855 captcha Generated CAPTCHA text: 4F9BL
INFO 2025-03-18 06:45:57,885 auth_views Generated CAPTCHA for login form: NFKD2$_
INFO 2025-03-18 06:45:57,890 auth_views Generated CAPTCHA for login form: 4F9BL$_
INFO 2025-03-18 06:45:57,896 basehttp "GET /login/ HTTP/1.1" 200 91516
INFO 2025-03-18 06:45:57,907 basehttp "GET /login/ HTTP/1.1" 200 91088
INFO 2025-03-18 06:46:42,215 captcha Generated CAPTCHA text: ZY58W
INFO 2025-03-18 06:46:42,249 auth_views Generated CAPTCHA for login form: ZY58W$_
INFO 2025-03-18 06:46:42,296 basehttp "GET /login/ HTTP/1.1" 200 92788
INFO 2025-03-18 06:46:42,308 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:46:42,309 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:46:42,309 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5778
INFO 2025-03-18 06:46:42,309 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:46:42,914 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:46:45,649 basehttp "GET /login/refresh-captcha/1742280405600 HTTP/1.1" 302 0
INFO 2025-03-18 06:46:45,652 captcha Generated CAPTCHA text: M4BC2
INFO 2025-03-18 06:46:45,687 auth_views Generated CAPTCHA for login form: M4BC2$_
INFO 2025-03-18 06:46:45,689 basehttp "GET /login/refresh-captcha/1742280405600 HTTP/1.1" 302 0
INFO 2025-03-18 06:46:45,696 basehttp "GET /login/ HTTP/1.1" 200 91272
INFO 2025-03-18 06:46:45,700 captcha Generated CAPTCHA text: JHBQ7
INFO 2025-03-18 06:46:45,732 auth_views Generated CAPTCHA for login form: JHBQ7$_
INFO 2025-03-18 06:46:45,738 basehttp "GET /login/ HTTP/1.1" 200 91356
INFO 2025-03-18 06:46:58,070 captcha Generated CAPTCHA text: 3DDDU
INFO 2025-03-18 06:46:58,104 auth_views Generated CAPTCHA for login form: 3DDDU$_
INFO 2025-03-18 06:46:58,151 basehttp "GET /login/ HTTP/1.1" 200 91240
INFO 2025-03-18 06:46:58,164 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:46:58,164 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5804
INFO 2025-03-18 06:46:58,164 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:46:58,164 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:46:58,529 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:47:00,881 basehttp "GET /login/refresh-captcha/1742280420831 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:00,884 captcha Generated CAPTCHA text: NE6EP
INFO 2025-03-18 06:47:00,916 basehttp "GET /login/refresh-captcha/1742280420832 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:00,918 auth_views Generated CAPTCHA for login form: NE6EP$_
INFO 2025-03-18 06:47:00,918 captcha Generated CAPTCHA text: MF8WY
INFO 2025-03-18 06:47:00,954 auth_views Generated CAPTCHA for login form: MF8WY$_
INFO 2025-03-18 06:47:00,957 basehttp "GET /login/ HTTP/1.1" 200 90672
INFO 2025-03-18 06:47:00,968 basehttp "GET /login/ HTTP/1.1" 200 91828
INFO 2025-03-18 06:47:26,030 captcha Generated CAPTCHA text: 9BHWL
INFO 2025-03-18 06:47:26,064 auth_views Generated CAPTCHA for login form: 9BHWL$_
INFO 2025-03-18 06:47:26,070 basehttp "GET /login/ HTTP/1.1" 200 91588
INFO 2025-03-18 06:47:26,084 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:47:26,084 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5809
INFO 2025-03-18 06:47:26,084 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:47:26,084 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:47:26,563 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:47:27,728 basehttp "GET /login/refresh-captcha/1742280447719 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:27,730 captcha Generated CAPTCHA text: 8JVRX
INFO 2025-03-18 06:47:27,762 basehttp "GET /login/refresh-captcha/1742280447718 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:27,764 captcha Generated CAPTCHA text: J8ZAF
INFO 2025-03-18 06:47:27,796 auth_views Generated CAPTCHA for login form: 8JVRX$_
INFO 2025-03-18 06:47:27,799 auth_views Generated CAPTCHA for login form: J8ZAF$_
INFO 2025-03-18 06:47:27,804 basehttp "GET /login/ HTTP/1.1" 200 92736
INFO 2025-03-18 06:47:27,815 basehttp "GET /login/ HTTP/1.1" 200 91620
INFO 2025-03-18 06:47:35,701 captcha Generated CAPTCHA text: HXY4P
INFO 2025-03-18 06:47:35,735 auth_views Generated CAPTCHA for login form: HXY4P$_
INFO 2025-03-18 06:47:35,782 basehttp "GET /login/ HTTP/1.1" 200 91732
INFO 2025-03-18 06:47:35,794 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:47:35,794 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:47:35,795 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:47:35,795 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5808
INFO 2025-03-18 06:47:36,367 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:47:37,581 basehttp "GET /login/refresh-captcha/1742280457572 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:37,583 captcha Generated CAPTCHA text: B9UC9
INFO 2025-03-18 06:47:37,615 basehttp "GET /login/refresh-captcha/1742280457572 HTTP/1.1" 302 0
INFO 2025-03-18 06:47:37,617 captcha Generated CAPTCHA text: 3MHDR
INFO 2025-03-18 06:47:37,647 auth_views Generated CAPTCHA for login form: B9UC9$_
INFO 2025-03-18 06:47:37,650 auth_views Generated CAPTCHA for login form: 3MHDR$_
INFO 2025-03-18 06:47:37,655 basehttp "GET /login/ HTTP/1.1" 200 92260
INFO 2025-03-18 06:47:37,666 basehttp "GET /login/ HTTP/1.1" 200 90652
INFO 2025-03-18 06:48:24,223 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 06:48:24,268 captcha Generated CAPTCHA text: CGTDF
INFO 2025-03-18 06:48:24,302 auth_views Generated CAPTCHA for login form: CGTDF$_
INFO 2025-03-18 06:48:24,309 basehttp "GET /login/ HTTP/1.1" 200 92180
INFO 2025-03-18 06:48:24,320 basehttp "GET /static/js/auth.js HTTP/1.1" 304 0
INFO 2025-03-18 06:48:41,121 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 06:48:41,124 captcha Generated CAPTCHA text: ZJHMU
INFO 2025-03-18 06:48:41,160 auth_views Generated CAPTCHA for login form: ZJHMU$_
INFO 2025-03-18 06:48:41,166 basehttp "GET /login/ HTTP/1.1" 200 90988
INFO 2025-03-18 06:48:41,180 basehttp "GET /static/js/auth.js HTTP/1.1" 304 0
INFO 2025-03-18 06:54:01,608 captcha Generated CAPTCHA text: 637LB
INFO 2025-03-18 06:54:01,643 auth_views Generated CAPTCHA for login form: 637LB$_
INFO 2025-03-18 06:54:01,690 basehttp "GET /login/ HTTP/1.1" 200 92148
INFO 2025-03-18 06:54:01,703 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:54:01,704 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:54:01,704 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5808
INFO 2025-03-18 06:54:01,704 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:54:02,267 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:54:05,912 basehttp "GET /login/refresh-captcha/1742280845902 HTTP/1.1" 302 0
INFO 2025-03-18 06:54:05,914 captcha Generated CAPTCHA text: CAKPF
INFO 2025-03-18 06:54:05,946 basehttp "GET /login/refresh-captcha/1742280845903 HTTP/1.1" 302 0
INFO 2025-03-18 06:54:05,947 captcha Generated CAPTCHA text: YHVZG
INFO 2025-03-18 06:54:05,979 auth_views Generated CAPTCHA for login form: CAKPF$_
INFO 2025-03-18 06:54:05,982 auth_views Generated CAPTCHA for login form: YHVZG$_
INFO 2025-03-18 06:54:05,987 basehttp "GET /login/ HTTP/1.1" 200 91664
INFO 2025-03-18 06:54:05,999 basehttp "GET /login/ HTTP/1.1" 200 91420
INFO 2025-03-18 06:57:05,443 autoreload /home/art/PycharmProjects/clon_open/manage.py changed, reloading.
INFO 2025-03-18 06:57:05,613 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 06:57:35,786 autoreload /home/art/PycharmProjects/clon_open/manage.py changed, reloading.
INFO 2025-03-18 06:57:35,955 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:57:57,402 base Session data corrupted
INFO 2025-03-18 06:57:57,402 captcha Generated CAPTCHA text: RYERS
INFO 2025-03-18 06:57:57,439 auth_views Generated CAPTCHA for login form: RYERS$_
INFO 2025-03-18 06:57:57,486 basehttp "GET /login/ HTTP/1.1" 200 91700
INFO 2025-03-18 06:57:57,497 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5809
INFO 2025-03-18 06:57:59,802 basehttp "GET /refresh-captcha/1742281079792 HTTP/1.1" 302 0
INFO 2025-03-18 06:57:59,804 captcha Generated CAPTCHA text: 74ZP8
INFO 2025-03-18 06:57:59,839 basehttp "GET /refresh-captcha/1742281079793 HTTP/1.1" 302 0
INFO 2025-03-18 06:57:59,841 captcha Generated CAPTCHA text: Z355L
INFO 2025-03-18 06:57:59,873 auth_views Generated CAPTCHA for login form: 74ZP8$_
INFO 2025-03-18 06:57:59,877 auth_views Generated CAPTCHA for login form: Z355L$_
INFO 2025-03-18 06:57:59,881 basehttp "GET /login/ HTTP/1.1" 200 91760
INFO 2025-03-18 06:57:59,893 basehttp "GET /login/ HTTP/1.1" 200 92100
INFO 2025-03-18 06:59:03,307 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:59:05,424 base Session data corrupted
INFO 2025-03-18 06:59:05,424 captcha Generated CAPTCHA text: GYD8V
INFO 2025-03-18 06:59:05,463 auth_views Generated CAPTCHA for login form: GYD8V$_
INFO 2025-03-18 06:59:05,510 basehttp "GET /login/ HTTP/1.1" 200 92892
INFO 2025-03-18 06:59:05,531 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:59:05,531 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:59:05,531 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:59:05,531 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5809
INFO 2025-03-18 06:59:06,238 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:59:07,113 basehttp "GET /refresh-captcha/1742281147105 HTTP/1.1" 302 0
INFO 2025-03-18 06:59:07,115 captcha Generated CAPTCHA text: KK3TP
INFO 2025-03-18 06:59:07,147 basehttp "GET /refresh-captcha/1742281147104 HTTP/1.1" 302 0
INFO 2025-03-18 06:59:07,148 captcha Generated CAPTCHA text: DFZ87
INFO 2025-03-18 06:59:07,179 auth_views Generated CAPTCHA for login form: KK3TP$_
INFO 2025-03-18 06:59:07,182 auth_views Generated CAPTCHA for login form: DFZ87$_
INFO 2025-03-18 06:59:07,187 basehttp "GET /login/ HTTP/1.1" 200 91832
INFO 2025-03-18 06:59:07,196 basehttp "GET /login/ HTTP/1.1" 200 91104
INFO 2025-03-18 07:00:05,600 autoreload /home/art/PycharmProjects/clon_open/chatgpt_project/local_settings.py changed, reloading.
INFO 2025-03-18 07:00:05,771 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 07:00:16,381 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 07:00:18,462 base Session data corrupted
INFO 2025-03-18 07:00:18,462 captcha Generated CAPTCHA text: UECLT
INFO 2025-03-18 07:00:18,503 auth_views Generated CAPTCHA for login form: UECLT$_
INFO 2025-03-18 07:00:18,537 basehttp "GET /login/ HTTP/1.1" 200 91244
INFO 2025-03-18 07:00:18,553 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 07:00:18,554 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 07:00:18,554 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 07:00:18,554 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5797
INFO 2025-03-18 07:00:19,072 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 07:00:20,373 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 07:00:20,375 captcha Generated CAPTCHA text: 8G4J9
INFO 2025-03-18 07:00:20,406 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 07:00:20,408 captcha Generated CAPTCHA text: JUBMM
INFO 2025-03-18 07:00:20,439 auth_views Generated CAPTCHA for login form: 8G4J9$_
INFO 2025-03-18 07:00:20,443 auth_views Generated CAPTCHA for login form: JUBMM$_
INFO 2025-03-18 07:00:20,447 basehttp "GET /login/ HTTP/1.1" 200 92060
INFO 2025-03-18 07:00:20,457 basehttp "GET /login/ HTTP/1.1" 200 90684
INFO 2025-03-18 07:29:40,826 autoreload /home/art/PycharmProjects/clon_open/chatgpt_app/auth_views.py changed, reloading.
INFO 2025-03-18 07:29:40,997 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 07:30:27,061 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 07:30:28,821 base Session data corrupted
INFO 2025-03-18 07:30:28,822 captcha Generated CAPTCHA text: 3JXLC
INFO 2025-03-18 07:30:28,860 auth_views Generated CAPTCHA for login form: 3JXLC$_
INFO 2025-03-18 07:30:28,868 basehttp "GET /login/ HTTP/1.1" 200 92592
INFO 2025-03-18 07:30:28,886 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 07:30:28,886 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 07:30:28,887 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5797
INFO 2025-03-18 07:30:28,887 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 07:30:29,620 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 07:30:30,503 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 07:30:30,505 captcha Generated CAPTCHA text: MWFWW
INFO 2025-03-18 07:30:30,537 basehttp "GET /refresh-captcha/ HTTP/1.1" 302 0
INFO 2025-03-18 07:30:30,539 captcha Generated CAPTCHA text: 27X8G
INFO 2025-03-18 07:30:30,571 auth_views Generated CAPTCHA for login form: MWFWW$_
INFO 2025-03-18 07:30:30,574 auth_views Generated CAPTCHA for login form: 27X8G$_
INFO 2025-03-18 07:30:30,579 basehttp "GET /login/ HTTP/1.1" 200 90956
INFO 2025-03-18 07:30:30,590 basehttp "GET /login/ HTTP/1.1" 200 92648
INFO 2025-03-18 07:32:00,031 captcha Generated CAPTCHA text: U6YN6
INFO 2025-03-18 07:32:00,066 auth_views Generated CAPTCHA for login form: U6YN6$_
INFO 2025-03-18 07:32:00,076 basehttp "GET /login/ HTTP/1.1" 200 7686
INFO 2025-03-18 07:32:00,129 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 07:32:00,129 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 07:32:00,129 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 07:32:00,130 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5797
INFO 2025-03-18 07:32:00,421 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 07:32:08,039 captcha Generated CAPTCHA text: E4DUJ
INFO 2025-03-18 07:32:08,075 auth_views Generated CAPTCHA for login form: E4DUJ$_
INFO 2025-03-18 07:32:08,081 basehttp "GET /login/ HTTP/1.1" 200 90549
INFO 2025-03-18 07:32:08,094 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 07:32:08,094 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 07:32:08,094 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5797
INFO 2025-03-18 07:32:08,094 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 07:32:08,360 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 07:33:21,702 autoreload /home/art/PycharmProjects/clon_open/chatgpt_app/auth_views.py changed, reloading.
INFO 2025-03-18 07:33:21,871 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 07:33:33,976 autoreload /home/art/PycharmProjects/clon_open/chatgpt_app/urls.py changed, reloading.
INFO 2025-03-18 07:33:34,144 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 07:33:42,202 base Session data corrupted
INFO 2025-03-18 07:33:42,202 captcha Generated CAPTCHA text: GQEEA
INFO 2025-03-18 07:33:42,239 auth_views Generated CAPTCHA for login form: GQEEA$_
INFO 2025-03-18 07:33:42,287 basehttp "GET /login/ HTTP/1.1" 200 90529
INFO 2025-03-18 07:33:42,430 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 07:33:51,647 auth_views Login CAPTCHA check: input='gqeea$_', stored='GQEEA$_'
INFO 2025-03-18 07:33:51,647 captcha CAPTCHA verification: input='GQEEA$_', stored='GQEEA$_'
INFO 2025-03-18 07:33:51,647 captcha CAPTCHA validation result: True
INFO 2025-03-18 07:33:51,854 auth_views User tima_holl@mail.ru logged in successfully from IP 127.0.0.1
INFO 2025-03-18 07:33:51,859 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-03-18 07:33:51,894 basehttp "GET /chat/ HTTP/1.1" 200 14725
INFO 2025-03-18 07:33:51,950 basehttp "GET /static/js/chat.js HTTP/1.1" 304 0
INFO 2025-03-18 07:33:52,073 basehttp "GET /api/conversations/2/messages/?t=1742283232054 HTTP/1.1" 200 477
INFO 2025-03-18 07:33:52,088 basehttp "GET /api/conversations/2/messages/?t=1742283232053 HTTP/1.1" 200 477
INFO 2025-03-18 07:33:54,086 basehttp "GET /api/conversations/1/messages/?t=1742283234076 HTTP/1.1" 200 1503
INFO 2025-03-18 07:33:54,841 basehttp "GET /api/conversations/2/messages/?t=1742283234793 HTTP/1.1" 200 477
INFO 2025-03-18 07:33:55,782 basehttp "GET /api/conversations/1/messages/?t=1742283235733 HTTP/1.1" 200 1503
